ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,1,0,1,0,0,1,2,0,0,0,0,120,1,0,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,80,1,1,0,1,1,0,1,1,14,3608.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,90,2,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,199,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1600000
0,119.0,0,0,0,0,0,0,0,1,0,0,2,0,70,5,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,5,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,141,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,240000
0,119.0,0,0,0,1,0,0,1,1,0,0,25,0,130,2,0,0,0,0,1,0,0,1,5542.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,80,1,1,0,0,0,0,0,0,5,3608.0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,120,3,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,63,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,600000
0,119.0,0,0,0,0,0,0,0,3,0,0,10,0,300,5,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,5,3608.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,600000
0,119.0,0,0,0,0,0,1,1,1,0,0,0,0,95,0,0,0,0,0,1,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,1,2,3608.0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,85,2,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,162,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,500000
0,50.0,1,1,1,1,1,1,0,1,0,0,10,1,55,0,1,0,0,0,0,1,0,0,5542.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,80,1,1,0,0,1,1,0,1,5,2200.0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,45,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,42,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,355000
0,119.0,0,0,0,1,0,1,1,2,0,0,2,0,160,9,0,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,79,1,1,0,0,1,1,1,1,10,3608.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,150,4,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,45,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,615000
0,119.0,0,1,0,0,0,0,1,1,0,0,0,0,50,2,0,1,0,0,1,0,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57,1,1,0,0,1,0,0,0,3,3608.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,45,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,52,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,182000
0,119.0,0,0,0,0,0,0,1,1,0,0,10,0,125,3,1,1,0,0,1,0,0,0,5542.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,1,0,0,0,3,3608.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,120,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,249000
0,40.0,0,0,0,1,0,0,0,1,0,0,0,0,17,6,1,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0,0,0,0,1,6,2500.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,160,3,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,48,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,969000
0,110.0,0,1,0,1,0,0,0,1,0,0,3,0,95,0,0,1,0,0,1,1,0,1,5542.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,80,1,1,0,1,1,0,0,1,4,2500.0,0,1,2,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,78,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,10,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,585000
0,119.0,0,0,0,0,0,0,1,1,0,0,20,0,100,2,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,1,4,1400.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,95,2,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,78,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,400000
0,80.0,0,1,0,1,0,1,1,1,0,0,16,0,5,7,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,1,0,1,1,7,1500.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,170,4,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,98,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,385000
