ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,50,0,1,1,1,0,0,1,2,0,0,2,0,135,4,1,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,1,0,0,0,0,1,0,0,79,mamak,1,1,kombi,0,1,1,0,1,1,10,1200,0,1,0,0,turkozu,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,120,3,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,1,0,0,0,1,1,0,490000
0,119,0,0,0,0,0,0,0,1,0,0,16,0,120,1,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,kecioren,0,0,kombi,0,0,0,0,0,0,3,3608,0,1,0,0,cicekli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,1,0,1,0,269000
0,119,0,0,0,1,0,1,1,2,0,1,10,0,180,3,1,1,0,0,1,0,0,0,5542,1,0,0,0,True,0,0,0,0,1,0,0,1,0,1,61,didim,0,0,klima,0,0,1,0,0,1,3,3608,0,1,0,1,efeler,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,120,3,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,7,1,0,0,1,0,0,1,1,0,0,elektrik,0,betonarme,0,0,1,0,0,1,1,545000
1,119,1,1,0,1,0,0,1,3,1,1,1,0,320,0,1,1,0,1,1,1,0,0,5542,1,1,1,1,False,1,1,1,1,1,0,0,1,1,1,80,besiktas,1,1,merkezi,1,1,1,0,1,1,4,3608,0,1,0,0,bebek,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,305,5,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,2,1,1,0,1,1,1,1,1,1,1,dogalgaz,0,betonarme,1,1,1,0,0,0,0,12000000
0,50,0,0,0,1,0,0,1,2,0,0,10,0,170,1,0,1,0,0,1,0,0,0,5542,1,1,0,1,False,0,0,1,1,0,0,0,0,1,1,79,cankaya,1,1,kombi,0,1,1,1,1,1,4,2500,0,1,0,1,akpinar,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,160,4,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,7,1,1,1,1,0,0,0,1,0,1,dogalgaz,1,betonarme,1,0,0,1,0,1,0,589000
0,119,0,1,0,1,0,0,1,2,0,0,0,0,0,8,0,1,0,0,1,0,0,0,5542,1,1,0,1,False,1,1,1,1,0,0,1,0,0,1,79,pursaklar,1,1,merkezi,0,1,1,0,0,1,14,3608,0,1,0,0,fatih,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,190,4,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,1,0,0,0,0,0,0,769000
0,50,1,1,0,1,0,0,1,1,0,0,0,0,75,1,1,0,0,1,1,1,0,1,5542,1,0,0,0,False,1,1,0,1,1,0,1,0,1,1,64,edremit,1,1,merkezi,0,1,1,0,1,1,4,1500,1,1,0,1,akcay,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,70,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,komur-odun,1,betonarme,1,1,0,1,1,1,1,270000
0,110,0,1,0,1,0,0,1,1,0,0,8,0,94,7,1,0,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,1,1,1,79,etimesgut,1,1,merkezi,0,0,1,1,1,1,12,600,0,1,0,0,yapracik,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,85,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,3,0,1,0,1,0,0,0,1,0,1,yok,1,betonarme,0,0,0,0,1,0,1,170000
0,100,0,1,0,1,0,0,1,2,0,0,0,0,170,8,1,1,0,0,1,0,0,0,5542,1,0,1,0,False,0,0,0,1,0,0,0,1,1,1,68,antakya,1,1,kombi,0,1,1,0,1,1,8,2000,0,1,0,0,odabasi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,145,3,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,1,0,1,yok,1,betonarme,1,0,0,0,0,0,0,460000
0,120,0,1,1,0,1,0,1,2,0,0,30,1,130,0,1,1,0,0,1,0,0,0,5542,1,0,1,1,True,0,1,1,0,0,0,0,0,0,1,80,uskudar,1,1,merkezi,0,0,1,0,1,0,4,3000,1,1,0,0,acibadem,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,110,3,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,4,0,0,0,1,1,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,1,1,890000
