ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
1,119.0,0,0,0,1,0,1,1,1,0,0,13,0,135,9,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,79,1,1,0,1,1,0,1,1,12,1750.0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,130,3,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,15,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,470000
1,25.0,0,1,0,0,0,0,1,1,0,0,5,0,95,3,1,1,0,0,1,0,0,0,5542.0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,80,1,1,0,0,1,1,0,1,3,1500.0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,90,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,23,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,435000
0,100.0,0,0,0,0,0,0,0,1,0,0,35,0,140,0,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,4,1500.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,390000
1,119.0,1,1,1,1,1,1,1,1,1,1,20,1,100,1,1,1,1,1,1,1,1,1,5542.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,64,1,1,1,1,1,1,1,1,4,3608.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,240000
1,119.0,1,1,0,0,0,1,1,4,0,1,0,0,153,0,0,1,0,0,1,0,0,1,5542.0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,57,1,1,0,1,1,0,0,0,3,3608.0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,121,4,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,8,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,4600000
0,1.0,0,1,0,1,0,1,1,2,0,0,15,0,195,9,0,1,0,1,1,0,0,0,5542.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,75,1,0,0,0,0,0,0,1,12,25000.0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,165,3,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,495000
0,150.0,1,1,0,1,0,1,1,2,0,0,7,0,173,7,1,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,79,1,1,0,0,1,1,1,1,13,3000.0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,160,4,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,20,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,625000
0,119.0,0,0,0,0,0,0,1,1,0,0,0,0,90,2,0,1,0,0,0,1,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,4,3500.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,75,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,65000
0,119.0,0,0,0,0,0,0,0,1,0,0,3,0,115,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,3,1200.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
0,119.0,0,1,1,1,0,1,1,2,0,0,9,0,300,2,0,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,79,1,1,0,0,1,0,1,1,4,2000.0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,60,4,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,20,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,850000
0,119.0,0,1,0,1,0,1,1,2,0,0,9,0,40,7,1,1,0,1,1,0,0,0,5542.0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,75,0,1,0,1,1,0,1,1,12,40000.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,15,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,28,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,835000
1,119.0,0,1,1,0,0,1,1,1,0,0,3,0,55,2,1,1,0,1,1,0,0,0,5542.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,14,1,1,0,0,0,0,0,1,3,900.0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,50,3,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,195000
0,119.0,1,1,0,1,0,1,1,4,0,0,0,0,90,4,1,0,0,1,1,0,0,0,5542.0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,79,1,1,0,1,1,1,1,0,13,7500.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,60,5,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,19,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2485000
1,50.0,0,1,0,1,0,1,1,1,0,0,20,0,125,0,1,1,0,0,1,0,0,0,5542.0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,79,1,1,0,0,1,0,1,1,3,1800.0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,120,3,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,11,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,315000
0,119.0,1,0,0,1,0,1,1,1,0,0,0,0,110,2,1,1,0,0,1,0,0,0,5542.0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,80,1,1,0,1,1,0,0,0,5,3608.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,100,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,8,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,400000
0,300.0,0,0,0,1,1,1,1,2,0,0,0,1,160,8,0,1,0,0,1,1,0,1,5542.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,80,1,1,0,1,1,0,1,1,8,8000.0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,4,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,21,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1890000
0,119.0,0,1,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,5542.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,60,1,1,0,0,0,0,0,0,3,3608.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,190,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,755000
1,119.0,0,0,0,1,0,1,1,2,0,0,2,0,110,3,1,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,76,1,1,0,0,1,0,1,1,5,1500.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,100,2,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,8,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,420000
1,250.0,0,1,0,1,0,1,1,2,0,0,2,0,175,12,0,1,0,1,1,0,0,0,5542.0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,79,1,1,0,1,1,1,1,1,14,2250.0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,155,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,18,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1065000
0,119.0,0,1,0,1,0,1,1,3,0,0,5,0,38,2,0,1,0,1,1,0,0,1,5542.0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,80,1,1,0,1,1,0,1,1,6,3608.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10,4,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,21,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,5750000
0,119.0,0,0,0,0,0,0,0,2,0,0,9,0,7,0,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,18,3608.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,550000
0,292.0,0,1,0,0,0,0,1,1,1,1,11,0,123,2,1,1,0,1,1,1,0,1,5542.0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,57,1,1,0,0,1,0,1,0,2,3608.0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,100,2,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,12,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,498500
0,50.0,0,0,0,1,0,0,1,1,0,0,35,0,130,1,0,1,0,0,0,1,0,0,5542.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0,1,0,1,0,5,3000.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,120,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,800000
0,119.0,0,0,0,0,0,0,1,1,0,0,15,0,130,2,0,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,1,0,0,0,3,3608.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,3,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,280000
0,119.0,0,0,0,1,0,0,1,1,0,0,0,0,150,1,0,0,0,0,1,0,0,0,5542.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,2,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,475000
1,119.0,1,1,1,1,0,1,1,8,1,1,15,0,850,4,0,1,1,1,1,0,1,1,5542.0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,80,1,1,1,0,1,1,0,1,5,3608.0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,750,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10500000
0,119.0,0,0,0,1,0,1,1,3,0,0,15,1,50,3,1,1,0,0,1,1,1,1,5542.0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,80,1,1,0,0,1,0,1,0,3,3608.0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,9350000
0,480.0,0,1,0,1,0,0,1,4,0,0,8,0,385,21,1,1,0,1,1,0,0,0,5542.0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,79,1,1,1,1,1,1,1,1,23,5000.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,350,5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,21,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1850000
0,600.0,0,1,0,1,0,1,1,2,1,1,5,0,317,1,1,0,0,1,1,0,0,0,5542.0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,77,1,1,0,1,1,0,1,1,19,3000.0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,16,3,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,22,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,915000
0,250.0,1,1,0,1,0,1,1,2,0,0,4,0,0,11,1,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,79,0,1,0,0,1,1,1,1,11,3608.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,11,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,695000
0,650.0,1,1,0,1,0,1,1,2,0,0,3,0,160,2,1,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,76,1,1,0,1,1,0,1,0,3,3608.0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,150,3,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,10,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1750000
0,100.0,0,1,0,1,0,1,1,2,0,0,0,0,40,4,1,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,79,1,1,0,1,1,0,1,1,15,2250.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,5,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,16,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,615000
1,50.0,0,0,0,0,0,1,1,2,0,0,5,0,130,1,0,0,0,0,0,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0,0,0,0,0,3,1300.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,3,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,380000
0,119.0,1,1,0,1,0,1,1,1,0,0,0,0,108,3,1,1,0,0,1,0,0,1,5542.0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,76,1,1,0,1,1,0,1,0,12,3608.0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,95,2,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,15,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,523450
0,119.0,0,0,0,1,0,1,1,2,0,0,0,0,0,5,1,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,70,1,1,0,1,1,0,1,1,12,3608.0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,165,4,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,8,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,600000
0,119.0,1,1,0,1,1,1,1,2,0,0,1,1,145,9,1,1,0,0,1,1,0,1,5542.0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,80,1,1,0,1,1,0,0,1,11,3608.0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,118,3,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,9,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,3750000
0,15.0,0,0,0,0,0,0,1,1,0,0,25,0,100,2,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,0,0,0,0,1,0,0,1,4,800.0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,180000
0,119.0,0,1,1,1,0,1,1,2,0,0,0,0,130,3,1,1,0,0,1,1,0,1,5542.0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,80,1,1,0,1,1,0,1,1,5,3608.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,120,3,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,19,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2700000
0,175.0,0,1,0,0,0,1,1,2,0,1,4,0,175,5,0,1,0,0,1,0,0,1,5542.0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,78,1,1,0,0,1,1,1,0,8,3608.0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,155,3,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,19,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1900000
0,119.0,0,0,0,1,0,1,1,1,0,0,0,0,60,3,1,1,0,0,1,1,0,1,5542.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,61,1,1,0,0,1,0,0,1,3,3608.0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,55,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,9,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,375000
0,119.0,0,0,0,0,0,0,1,2,0,0,7,0,50,5,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,79,0,0,0,0,0,0,0,1,5,3608.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,5,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,545000
0,119.0,0,0,0,0,0,0,0,2,0,0,25,0,160,1,0,0,0,0,0,1,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,6,3608.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,150,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,800000
0,300.0,0,0,0,1,0,1,1,1,0,0,35,0,130,5,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,79,0,1,0,1,1,1,1,1,12,3000.0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,120,3,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,27,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,599000
