ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,150,0,0,1,1,0,0,1,1,0,0,45,0,0,1,0,1,0,0,1,1,0,0,5542,1,0,0,0,False,0,0,0,1,0,0,0,1,1,1,80,beyoglu,1,1,merkezi,0,0,1,0,1,1,5,3608,0,1,0,0,cihangir,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,90,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,21,0,1,0,1,0,0,0,1,1,1,dogalgaz,0,betonarme,0,0,0,0,1,0,0,1050000
0,119,0,0,0,1,0,1,1,1,0,0,19,0,155,5,1,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,1,1,59,corlu,1,1,kombi,0,0,0,0,0,1,5,3608,0,1,1,1,alipasa,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,145,3,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,16,0,1,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,1,250000
1,119,0,0,0,0,0,0,1,1,0,0,0,0,80,1,1,1,0,0,1,1,0,0,5542,1,0,0,0,False,0,0,1,0,0,0,0,1,0,1,61,didim,1,1,klima,0,0,1,0,0,1,3,1500,0,1,0,0,efeler,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,75,2,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,9,1,0,1,1,0,0,0,1,0,1,elektrik,0,betonarme,1,0,0,1,0,1,1,340000
0,119,0,0,0,0,0,0,0,2,0,0,1,0,110,4,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,cankaya,0,0,merkezi,0,0,0,0,0,0,10,2750,0,1,0,0,kirkkonaklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,1,0,0,0,1,0,0,650000
0,30,0,0,1,0,0,0,1,1,0,0,20,0,60,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,1,0,0,0,0,0,1,79,kecioren,1,1,kombi,0,0,1,0,1,1,3,800,0,1,0,1,asagi eglence,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,55,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,8,0,0,1,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,0,0,188000
0,70,1,1,0,1,0,0,1,2,0,0,1,0,80,6,0,1,0,0,1,0,0,1,5542,1,0,1,1,False,0,0,0,1,0,0,0,1,1,0,80,beylikduzu,1,1,kombi,0,1,0,0,1,0,6,3608,0,1,0,0,kavakli,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,65,5,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,10,0,1,0,1,1,0,1,1,0,0,dogalgaz,1,betonarme,1,0,0,0,1,0,0,630000
0,100,0,1,0,1,0,1,1,2,1,0,20,0,80,5,0,0,0,1,1,0,0,0,5542,1,0,0,1,False,0,1,1,1,0,0,0,1,0,1,65,ilkadim,1,1,kombi,0,0,1,0,1,1,5,1500,0,1,1,1,bahcelievler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,7,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,1,dogalgaz,1,betonarme,0,0,0,1,1,1,0,450000
0,119,1,0,0,1,0,0,1,2,0,0,0,0,300,4,1,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,0,0,0,0,0,1,1,66,develi,1,1,kombi,0,0,1,0,0,1,4,3608,0,1,0,0,harman,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,8,6,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,9,1,0,1,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,0,1,0,0,570000
0,119,0,0,1,0,0,1,0,1,0,0,20,0,145,3,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,53,ortahisar,0,0,soba,0,0,0,0,0,1,5,3608,0,1,0,0,caglayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,230000
0,119,0,0,0,0,0,0,1,1,0,0,20,0,135,4,1,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,60,merkezefendi,0,1,kombi,0,0,0,0,0,0,5,1000,0,1,0,0,degirmenonu,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,125,3,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,1,1,1,1,235000
