ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,35.0,0,0,1,1,0,1,1,1,0,0,28,0,100,0,0,0,0,0,1,1,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,78,0,0,0,0,1,0,0,0,5,2000.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,85,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,350000
0,119.0,0,0,0,0,0,0,0,1,0,0,19,0,120,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,2,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395000
1,150.0,1,1,0,1,0,1,1,2,0,0,5,0,40,4,1,1,1,0,1,0,0,0,5542.0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,60,1,1,0,1,1,1,1,0,5,3608.0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,15,4,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,53,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,949000
0,119.0,0,1,0,0,0,0,0,1,0,0,35,0,95,1,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,1,1,0,0,1,1,0,0,4,3608.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,90,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,670000
1,50.0,0,0,1,0,0,1,1,1,0,0,18,0,140,1,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,79,1,1,0,0,1,1,1,1,2,1500.0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,130,3,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,17,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,380000
0,119.0,0,0,0,0,0,0,0,1,0,0,0,0,65,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,5,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,180000
0,119.0,0,0,0,0,0,0,0,1,0,0,4,0,145,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,4,3608.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000
0,119.0,0,1,0,1,0,0,0,1,0,0,0,0,100,0,1,1,0,0,1,1,0,0,5542.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,80,1,1,0,0,1,0,0,1,4,3608.0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,90,2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,34,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,145000
0,50.0,0,1,0,1,0,1,1,2,0,0,0,0,130,2,1,1,0,0,1,1,0,1,5542.0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,64,1,1,0,0,1,0,0,1,4,1500.0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,120,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,14,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,550000
0,60.0,0,1,0,1,0,1,1,2,0,0,8,0,130,0,1,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,79,1,1,0,0,1,1,1,1,4,1200.0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,120,3,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,309000
0,150.0,0,1,0,1,0,1,1,1,0,0,25,0,127,0,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,78,1,0,0,0,1,1,1,1,4,3608.0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,110,3,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,58,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,840000
0,119.0,0,1,0,0,0,1,1,2,0,0,0,0,0,2,0,1,0,0,1,1,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,64,1,1,0,0,1,0,0,1,2,2000.0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,190,3,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,63,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,800000
0,160.0,0,0,0,1,0,1,1,2,0,0,0,0,7,2,0,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,60,1,1,0,1,0,0,1,0,5,1500.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,187,3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,45,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,750000
0,119.0,0,0,0,1,0,0,1,2,0,0,12,0,180,2,0,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,60,1,1,0,0,1,0,0,1,5,1700.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,170,3,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,650000
0,119.0,0,1,0,1,0,1,1,2,1,0,4,0,140,4,1,1,0,0,1,0,0,1,5542.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,80,1,1,0,0,1,1,0,1,4,3608.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,105,2,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,126,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,660000
0,55.0,0,0,0,0,0,0,0,1,0,0,1,0,120,4,0,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,4,2500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,550000
1,119.0,1,1,1,1,1,1,1,2,1,1,0,1,115,2,1,1,1,1,1,1,1,1,5542.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,80,1,1,1,1,1,1,1,1,6,3608.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,177000
1,119.0,0,1,0,1,0,0,1,2,0,0,15,0,185,2,1,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,79,1,0,0,0,0,1,0,0,10,3608.0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,160,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,112,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1125000
0,50.0,0,0,0,0,0,0,1,2,0,0,0,0,50,1,0,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,7,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,144,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,550000
0,119.0,1,0,0,0,0,0,0,1,0,0,21,0,135,0,0,0,0,0,0,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,4,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,390000
