ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,0,0,0,0,0,0,2,0,0,25,0,190,3,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,3,1500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465000
1,119.0,0,1,1,1,0,1,1,1,0,0,1,0,105,0,0,1,0,0,1,1,0,0,5542.0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,80,1,1,0,1,1,0,1,1,28,3608.0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,77,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,116,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,550000
0,500.0,0,1,0,1,0,0,1,2,0,1,1,0,120,3,0,1,0,0,1,0,0,1,5542.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,57,1,1,0,1,1,0,0,0,3,3608.0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,100,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,22,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1750000
0,20.0,0,0,1,0,0,0,1,1,0,0,9,0,110,2,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,1,0,0,1,0,0,1,3,1200.0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,100,2,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,93,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,350000
0,119.0,0,0,0,0,0,0,0,1,0,0,8,0,90,1,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,3,900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,255000
0,119.0,0,0,0,0,0,0,1,1,0,0,0,0,125,4,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,1,1,0,0,1,0,0,1,4,2300.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,120,3,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,690000
0,119.0,0,0,0,0,0,0,0,1,0,0,0,0,110,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,5,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,365000
1,119.0,0,0,0,0,0,0,1,1,0,0,18,0,145,2,1,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,79,1,1,0,0,1,0,0,1,3,3608.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,120,3,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,91,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,150000
1,119.0,1,1,1,1,1,1,1,1,1,1,12,1,155,3,1,1,1,1,1,1,1,1,5542.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,79,1,1,1,1,1,1,1,1,5,1300.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,379000
0,540.0,0,1,0,1,0,1,1,2,0,0,20,0,320,9,1,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,79,1,1,1,0,1,1,1,0,9,3608.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,40,3,1,0,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,69,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1525000
