ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119,0,0,0,0,0,0,1,1,0,0,10,0,120,0,0,1,0,0,1,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,1,0,0,0,79,pursaklar,1,1,kombi,0,0,1,0,0,1,3,3608,0,1,2,0,merkez,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,110,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,55,0,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,0,0,0,189000
0,100,0,1,0,1,0,1,1,2,0,0,4,0,195,4,0,1,0,0,1,0,0,0,5542,1,1,0,1,False,0,1,1,1,0,0,0,1,1,1,79,yenimahalle,1,1,merkezi,0,1,1,1,1,1,16,2250,0,1,1,0,pamuklar,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,185,4,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,124,1,0,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,0,0,0,0,1,0,1,590000
0,119,0,0,0,0,0,1,1,1,0,0,15,0,70,0,0,0,0,0,1,0,0,1,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,78,foca,0,0,klima,0,0,0,0,0,0,3,3608,0,1,1,0,mustafa kemal ataturk,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,124,0,0,0,1,0,0,0,1,0,0,elektrik,0,betonarme,0,0,0,0,0,0,0,385000
0,119,0,0,0,0,0,0,0,1,0,0,0,0,78,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,78,menemen,0,0,kombi,0,0,0,0,0,0,5,3608,0,1,0,0,85. yil cumhuriyet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,210000
0,30,0,0,0,0,1,0,0,1,0,0,40,0,125,2,1,0,0,0,0,1,0,1,5542,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,80,fatih,0,0,kombi,0,0,0,0,0,0,4,2500,0,1,1,0,koca mustafapasa,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,120,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,1,1,0,1,700000
0,119,0,0,0,0,0,0,0,1,0,0,25,0,125,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,66,develi,0,0,soba,0,0,0,0,0,0,5,3608,0,1,0,0,bahcelievler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,128000
0,250,0,1,0,1,0,1,1,2,0,0,2,0,135,11,1,1,0,0,1,1,0,1,5542,1,0,0,1,False,0,1,0,1,0,0,0,0,0,1,80,kadikoy,1,1,merkezi,0,1,1,0,1,1,15,6000,0,1,2,0,bostanci,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,105,3,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,45,1,1,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,0,0,0,0,1,1,1,2200000
0,119,0,1,0,0,0,1,1,2,1,0,0,0,130,3,0,1,0,0,1,1,0,1,5542,1,0,0,0,False,0,0,0,1,1,0,0,1,1,1,64,edremit,1,1,kat kaloriferi,0,0,1,0,0,1,3,1500,0,1,0,0,altinoluk,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,120,3,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,50,1,0,0,1,0,0,0,1,0,1,elektrik,0,betonarme,1,0,0,1,1,1,1,1050000
0,119,0,1,1,1,0,0,1,1,0,0,0,0,90,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,1,0,1,1,79,cankaya,1,1,kombi,0,1,0,0,1,0,5,2500,0,0,0,0,bahcelievler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,123,1,1,0,1,0,0,1,0,0,1,dogalgaz,0,betonarme,1,0,0,1,0,0,1,550000
0,119,0,1,1,0,0,1,1,1,0,0,8,0,124,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,1,0,0,0,0,1,0,1,60,merkezefendi,1,0,kombi,0,0,1,0,0,0,3,3608,0,1,0,0,karaman,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,118,3,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,15,1,0,1,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,1,1,1,1,330000
