ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,1,0,1,0,0,0,1,0,0,0,0,75,1,1,1,0,0,1,0,0,0,5542.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,80,0,0,0,0,0,0,0,0,8,3608.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,65,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,121,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2360000
0,119.0,0,0,0,0,0,0,0,1,0,0,2,0,120,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,5,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,410000
0,20.0,0,1,0,1,0,0,1,2,0,0,5,0,160,4,0,1,0,0,1,0,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,1,1,0,0,1,0,0,1,4,3608.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,130,4,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,124,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,695000
0,119.0,0,0,0,1,0,0,1,1,0,0,25,0,125,1,0,1,0,0,1,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1,0,0,1,0,0,0,5,3608.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,110,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,235000
0,100.0,0,0,0,0,0,0,0,1,0,0,12,0,145,0,0,0,0,0,0,0,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,1,0,0,0,4,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,45,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,315000
0,119.0,0,0,0,1,0,0,1,1,0,0,0,0,105,1,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,78,1,1,0,0,1,0,0,1,7,1800.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,100,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,123,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,330000
0,119.0,0,0,0,1,0,0,1,2,0,0,10,0,0,3,1,1,0,0,1,0,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,3,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,125,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,625000
0,119.0,0,0,0,1,0,1,1,2,0,0,0,0,100,1,0,1,0,0,1,1,0,0,5542.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,80,1,1,0,0,0,0,0,0,4,3608.0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,90,2,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,30,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,300000
0,119.0,0,0,0,1,0,0,1,1,0,0,30,0,115,1,1,0,0,0,1,0,0,0,5542.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,80,1,1,0,0,1,1,0,0,5,3608.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,110,3,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,104,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,450000
0,340.0,0,0,0,1,0,0,1,1,0,0,30,0,135,1,0,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,79,0,1,0,0,1,0,1,0,8,1500.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,130,3,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,289000
