ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,0,0,0,0,0,0,2,0,0,0,0,190,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,5,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,345000
0,10.0,0,0,0,0,0,1,1,1,0,0,25,0,80,2,0,1,0,0,1,0,0,1,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,0,0,0,0,1,0,1,3,2500.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,975000
0,30.0,0,0,0,0,0,0,0,1,0,0,33,0,90,5,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,5,3608.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,330000
0,119.0,0,0,0,0,0,0,0,1,0,0,1,0,140,2,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,4,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,484950
1,100.0,0,1,0,0,0,1,0,2,0,0,2,0,14,3,1,1,0,0,1,1,0,0,5542.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,1,1,0,1,5,1500.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,134,3,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,50,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,410000
0,50.0,0,1,1,1,0,0,1,1,0,0,28,0,110,5,1,1,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,0,6,1300.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,96,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,54,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,185000
0,20.0,0,0,0,1,0,0,1,1,0,0,28,0,145,3,0,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,1,1,0,0,0,0,0,0,4,1500.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,92,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,425000
0,50.0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,3,1500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,420000
0,119.0,0,0,0,1,0,0,0,1,0,0,2,0,65,1,1,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,1,0,0,1,7,3608.0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,55,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,69,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,450000
0,119.0,0,0,0,0,0,0,0,1,0,0,15,0,120,4,0,0,0,0,0,0,0,0,5542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,3608.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145000
