,Unnamed: 0,ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
41862,41862,0,119,0,0,1,0,0,0,1,1,0,0,13,0,105,1,1,1,0,0,1,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,1,1,1,0,79,pursaklar,1,1,kombi,0,0,1,0,0,0,3,3608,0,1,0,1,fatih,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,100,2,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,22,0,0,1,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,159000
41863,41863,0,20,0,0,0,0,0,0,1,1,0,0,13,0,110,2,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,mamak,1,1,kombi,0,0,0,0,1,1,3,800,0,1,1,0,general zeki dogan,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,110,3,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,129,1,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,1,1,0,220000
41864,41864,0,50,0,0,0,1,0,0,1,1,0,0,8,0,140,1,1,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,80,sancaktepe,0,1,kombi,0,0,0,0,1,0,5,1300,0,1,2,1,abdurrahmangazi,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,135,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,42,0,0,0,1,1,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,1,440000
41865,41865,0,30,1,0,0,1,1,0,1,2,0,0,0,1,120,5,1,1,0,0,1,1,0,0,5542,1,1,1,1,False,0,1,1,0,0,0,0,1,0,1,80,uskudar,1,1,kombi,0,0,1,0,0,1,5,2500,1,1,0,1,valide-i atik,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,110,3,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,121,1,0,0,1,1,0,0,1,1,0,dogalgaz,0,betonarme,1,0,0,0,1,0,0,740000
41866,41866,0,119,0,1,0,1,0,1,1,2,0,0,0,0,40,5,0,1,0,0,1,0,0,1,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,1,80,buyukcekmece,1,1,kombi,0,0,0,0,0,0,5,3608,1,1,1,0,ataturk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,87,1,0,0,1,0,0,1,1,0,1,dogalgaz,0,betonarme,1,0,0,0,1,0,0,1550000
41867,41867,0,50,0,0,0,1,0,1,1,2,0,0,3,0,320,3,0,1,0,0,1,0,0,0,5542,1,1,0,1,False,0,0,0,1,0,0,0,0,0,1,79,etimesgut,1,1,kombi,0,0,1,0,0,1,4,1750,0,1,0,0,alsancak,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,300,5,1,0,1,0,1,1,0,0,1,0,1,2,1,1,0,1,0,0,0,57,1,0,0,1,0,0,1,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,1,0,635000
41868,41868,0,119,0,0,0,1,0,0,1,1,0,0,0,0,120,1,0,1,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,1,0,0,0,0,0,0,56,odunpazari,0,0,kombi,0,0,0,1,0,0,3,3608,0,1,0,0,emek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,1,1,0,dogalgaz,0,betonarme,1,0,0,0,0,0,0,400000
41869,41869,1,119,0,0,0,1,0,1,1,4,0,0,25,1,700,5,1,0,0,1,1,1,0,0,5542,1,0,1,0,False,0,0,1,1,0,0,1,0,1,1,80,besiktas,1,1,merkezi,0,0,1,1,1,0,5,3608,0,1,0,0,ulus,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,699,6,1,1,1,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,149,1,1,0,1,1,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,1,0,17000000
41870,41870,0,119,0,1,0,1,0,1,1,2,0,0,2,0,150,2,0,1,0,0,1,0,0,1,5542,1,0,0,1,False,0,0,0,1,0,0,1,1,1,1,64,edremit,1,1,merkezi,0,0,1,0,0,1,3,3608,0,1,2,1,akcay,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,140,3,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,147,1,1,0,1,0,0,0,1,0,1,yok,0,betonarme,0,0,0,0,0,0,0,450000
41871,41871,0,119,0,0,0,0,0,0,0,1,0,0,10,0,120,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,mamak,0,0,kombi,0,0,0,0,0,0,5,3608,0,1,0,0,gulveren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,225000
41872,41872,0,50,0,0,0,0,0,0,0,1,0,0,4,0,110,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,mamak,0,0,kombi,0,0,0,0,0,0,3,1750,0,1,0,0,abidinpasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,kagir,1,0,0,0,1,0,1,510000
41873,41873,0,40,0,0,0,1,0,0,0,2,0,0,2,0,150,3,0,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,1,0,0,0,0,0,0,80,sultanbeyli,1,1,kombi,0,0,1,0,0,1,3,1500,0,1,0,0,ahmet yesevi,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,130,4,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,78,0,0,1,1,1,0,1,1,0,0,dogalgaz,0,betonarme,1,0,0,0,0,1,1,430000
41874,41874,0,50,0,0,0,1,0,0,1,1,0,0,18,0,90,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,1,0,1,0,0,0,0,0,0,1,78,karabaglar,1,1,kombi,0,0,1,0,1,1,6,1600,0,1,1,0,adnan suvari,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,85,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,67,1,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,1,0,305000
