ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119,0,0,0,0,0,0,0,2,0,0,18,0,80,3,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,66,melikgazi,0,0,merkezi,0,0,0,0,0,0,12,3608,0,1,0,0,alpaslan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,kagir,0,0,0,1,1,0,0,920000
0,620,1,0,0,1,0,0,1,2,0,0,7,0,135,8,0,1,0,0,1,0,0,0,5542,1,1,0,1,False,1,0,1,1,1,0,0,0,1,1,78,karsiyaka,1,1,merkezi,0,1,0,0,1,1,10,3500,1,1,2,0,inonu,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,115,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,120,1,1,0,1,1,0,0,1,0,1,dogalgaz,1,betonarme,0,0,1,1,1,0,1,1400000
1,119,1,1,0,1,0,1,1,1,1,0,7,0,160,1,1,1,0,1,1,0,0,0,5542,1,0,1,0,False,0,1,1,1,0,1,0,1,1,1,68,antakya,1,1,kombi,0,1,1,1,1,0,5,3608,0,1,2,1,ekinci,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,155,3,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,4,1,1,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,0,0,0,1,0,1,1,340000
0,119,0,0,0,1,0,1,1,1,0,0,12,0,95,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,kecioren,0,1,kombi,0,0,1,0,1,1,3,3608,0,1,0,0,yayla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,41,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,0,1,0,165000
0,119,0,0,0,0,0,0,0,1,0,0,0,0,150,5,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,71,karamursel,0,0,kombi,0,0,0,0,0,0,5,2000,0,1,0,0,kayacik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,500000
0,400,0,1,0,1,0,1,1,1,0,0,6,0,120,0,1,1,0,0,1,0,0,0,5542,1,1,0,0,False,0,0,0,1,1,0,0,1,0,1,79,cankaya,1,1,merkezi,0,1,0,1,1,1,10,2000,0,1,0,0,alacaatli,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,41,0,0,1,1,0,0,0,1,0,1,elektrik,0,betonarme,0,0,0,1,0,0,1,695000
0,119,0,1,0,0,0,0,0,1,0,0,12,0,50,1,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,56,odunpazari,1,1,kombi,0,0,0,0,0,0,4,3608,0,1,2,1,kurtulus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,1,0,1,0,175000
0,150,0,1,0,0,0,1,1,2,0,0,0,0,120,3,0,1,0,0,1,1,0,1,5542,1,0,0,1,False,0,0,0,0,1,0,0,1,0,1,57,milas,1,1,merkezi,0,0,0,0,0,0,3,3608,0,1,0,0,gulluk,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,97,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,133,0,0,0,1,0,0,0,1,0,0,elektrik,0,betonarme,1,1,1,1,0,0,1,750000
0,119,0,0,0,0,0,0,0,2,0,0,40,0,160,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,80,beyoglu,0,0,kombi,0,0,0,0,0,0,5,3608,0,1,0,0,kilicali pasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,1925000
1,150,0,0,0,1,0,1,0,1,0,0,0,0,80,0,1,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,1,1,0,0,0,0,0,80,eyupsultan,1,1,merkezi,0,0,1,0,1,1,10,2200,0,1,0,1,karadolap,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,75,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,17,1,0,0,1,1,0,0,1,0,0,dogalgaz,1,betonarme,1,0,0,1,1,1,0,420000
